| Resource | Base Type | Category | Fields | Descriptions | Types | Bindings | In EHI Export | Product |
|---|---|---|---|---|---|---|---|---|
| Patient | Patient | Practice Management | 279 | 279 | 279 | 32 | Yes | Both |
| RelatedPerson | RelatedPerson | Practice Management | 102 | 102 | 102 | 20 | Yes | Both |
| Appointment | Appointment | Practice Management | 101 | 101 | 101 | 28 | Yes | Both |
| Account | Account | Practice Management | 83 | 83 | 83 | 5 | Yes | athenaPractice only |
| ATHENACoverage | Coverage | Practice Management | 74 | 74 | 74 | 11 | Yes | Both |
| A slot of time on a schedule that may be available for booking appointments | Slot | Practice Management | 33 | 33 | 33 | 8 | Yes | athenaPractice only |
| Schedule | Schedule | Practice Management | 25 | 25 | 25 | 6 | Yes | athenaPractice only |
| Allergy or Intolerance (generally: Risk Of Adverse reaction to a substance) | AllergyIntolerance | Clinical | 198 | 198 | 198 | 39 | Yes | Both |
| Measurements and simple assertions | Observation | Clinical | 193 | 193 | 189 | 29 | Yes | Both |
| MedicationRequest | MedicationRequest | Clinical | 134 | 134 | 134 | 23 | Yes | Both |
| An interaction during which services are provided to the patient | Encounter | Clinical | 126 | 126 | 126 | 23 | Yes | Both |
| Immunization event information | Immunization | Clinical | 110 | 110 | 110 | 17 | Yes | Both |
| A reference to a document | DocumentReference | Clinical | 99 | 99 | 99 | 20 | Yes | Both |
| Detailed information about conditions, problems or diagnoses | Condition | Clinical | 88 | 88 | 88 | 16 | Yes | Both |
| Consent Profile | Consent | Clinical | 87 | 87 | 86 | 17 | Yes | Both |
| Device | Device | Clinical | 84 | 84 | 84 | 10 | Yes | Both |
| MedicationDispense | MedicationDispense | Clinical | 84 | 84 | 84 | 19 | No | N/A (not in EHI export) |
| An action that is being or was performed on a patient | Procedure | Clinical | 82 | 82 | 82 | 19 | Yes | Both |
| CarePlan | CarePlan | Clinical | 81 | 81 | 81 | 13 | Yes | Both |
| Record of medication being taken by a patient | MedicationStatement | Clinical | 80 | 80 | 80 | 15 | Yes | Both |
| ServiceRequest | ServiceRequest | Clinical | 77 | 77 | 77 | 19 | Yes | Both |
| ClinicalImpression | ClinicalImpression | Clinical | 73 | 73 | 73 | 13 | Yes | Both |
| CareTeam | CareTeam | Clinical | 70 | 70 | 70 | 11 | Yes | Both |
| Administration of medication to a patient | MedicationAdministration | Clinical | 69 | 69 | 69 | 13 | Yes | Both |
| Specimen | Specimen | Clinical | 66 | 66 | 66 | 14 | No | N/A (not in EHI export) |
| FamilyMemberHistory | FamilyMemberHistory | Clinical | 63 | 63 | 63 | 12 | Yes | Both |
| DiagnosticReport | DiagnosticReport | Clinical | 59 | 59 | 59 | 9 | Yes | Both |
| Resource for non-supported content | Basic | Clinical | 51 | 51 | 51 | 4 | No | N/A (not in EHI export) |
| Goal | Goal | Clinical | 50 | 50 | 50 | 14 | Yes | Both |
| Media | Media | Clinical | 49 | 49 | 49 | 11 | No | N/A (not in EHI export) |
| Binary | Binary | Clinical | 16 | 16 | 16 | 4 | Yes | Both |
| Charge | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-charge-profile | Custom / Financial | 106 | 106 | 106 | 12 | Yes | athenaPractice only |
| Eligibility | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-eligibility-profile | Custom / Financial | 86 | 86 | 86 | 9 | Yes | athenaPractice only |
| Collection | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-collection-profile | Custom / Financial | 78 | 78 | 78 | 13 | Yes | athenaPractice only |
| Payment | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-payment-profile | Custom / Financial | 49 | 49 | 49 | 5 | Yes | athenaPractice only |
| PatientInsurance | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-patientInsurance-profile | Custom / Financial | 46 | 46 | 46 | 5 | Yes | athenaPractice only |
| Adjustment | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-adjustment-profile | Custom / Financial | 40 | 40 | 40 | 4 | Yes | athenaPractice only |
| Claim | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-claim-profile | Custom / Financial | 40 | 40 | 40 | 3 | Yes | athenaPractice only |
| Deductible | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-deductible-profile | Custom / Financial | 40 | 40 | 40 | 4 | Yes | athenaPractice only |
| BillingStatement | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-billingStatement-profile | Custom / Financial | 21 | 21 | 21 | 2 | Yes | athenaPractice only |
| OperationOutcome | https://docs.mydata.athenahealth.com/fhir-r4/StructureDefinition/athena-operationOutcome-profile | Custom / Financial | 13 | 13 | 13 | 0 | Yes | Both |
| A grouping of people or organizations with a common purpose | Organization | System | 121 | 121 | 121 | 21 | Yes | Both |
| Roles/organizations the practitioner is associated with | PractitionerRole | System | 104 | 104 | 104 | 12 | Yes | Both |
| Provenance | Provenance | System | 98 | 98 | 97 | 14 | Yes | Both |
| Definition of a Medication | Medication | System | 95 | 95 | 95 | 6 | Yes | Both |
| Details and position information for a physical place | Location | System | 94 | 94 | 94 | 19 | Yes | Both |
| Practitioner | Practitioner | System | 87 | 87 | 87 | 15 | Yes | Both |
| ValueSet | ValueSet | System | 84 | 84 | 81 | 6 | No | N/A (not in EHI export) |
| AuditEvent | AuditEvent | System | 72 | 72 | 72 | 19 | No | N/A (not in EHI export) |
| ConceptMap | ConceptMap | System | 64 | 64 | 63 | 5 | No | N/A (not in EHI export) |
| Subscription | Subscription | System | 61 | 61 | 61 | 10 | No | N/A (not in EHI export) |
| NamingSystem | NamingSystem | System | 29 | 29 | 29 | 6 | No | N/A (not in EHI export) |
| Endpoint | Endpoint | System | 28 | 28 | 28 | 7 | No | N/A (not in EHI export) |
| List | List | System | 28 | 28 | 28 | 7 | No | N/A (not in EHI export) |

## Summary Statistics
- EHI export entities: 43 of 54 profiled
- EHI export fields: 3654
- Non-EHI entities: 11 (AuditEvent, ConceptMap, Endpoint, List, MedicationDispense, Media, NamingSystem, Basic, Specimen, Subscription, ValueSet)
- Total fields across all profiles: 4270
- Description coverage: 100% (all 4270 fields have descriptions)
