TABLE_NAME     COLUMN_NAME            DATA_TYPE
mChart         ChartID                int
mChart         PatientID              int
mChart         ChartNumber            varchar
mChart         OldChartNumber         varchar
mChart         ChartLocation          varchar
mChart         ArchiveBoxNumber       varchar
mChart         ArchiveDate            datetime
mChart         ServiceID              int
mChart         ProviderID             int
mChart         AlternateChartNumber   varchar
mChart         ArchiveLocation        varchar
mChart         ArchiveMethodID        int
mChart         IsActive               bit
mChart         IsDeleted              bit
mChart         UserCreated            varchar
mChart         DateCreated            datetime
mChart         UserUpdated            varchar
mChart         DateUpdated            datetime
mCPSPPatient   CPSPPatientID          int
mCPSPPatient   PatientID              int
mCPSPPatient   ChartNumber            varchar
mCPSPPatient   LastName               varchar
mCPSPPatient   FirstName              varchar
mCPSPPatient   MiddleName             varchar
mCPSPPatient   HomePhone              varchar
mCPSPPatient   PregnancyNumber        int
mCPSPPatient   CPSPCaseManagerID      int
mCPSPPatient   LMP                    datetime
mCPSPPatient   EntryDate              datetime
mCPSPPatient   EDC                    datetime
mCPSPPatient   ProviderID             int
mCPSPPatient   PrivateMedicalDoctor   varchar
mCPSPPatient   HospitalID             int
mCPSPPatient   DeliveryHospital       varchar
mCPSPPatient   FourWeekLimit          datetime
mCPSPPatient   SecondTrimester        datetime
mCPSPPatient   ThirdTrimester         datetime
mCPSPPatient   EstDueDate             datetime
mCPSPPatient   AgeAtDelivery          varchar
mCPSPPatient   GestWeek               float
mCPSPPatient   BirthOutcome           varchar
mCPSPPatient   BabyGenderCode         varchar
mCPSPPatient   BabyWeightMetric       float
mCPSPPatient   BabyWeightLbs          int
mCPSPPatient   BabyWeightOz           int
mCPSPPatient   DeliveryClosureDate    datetime
mCPSPPatient              ClosureDate              datetime
mCPSPPatient              ClosureReason            varchar
mCPSPPatient              IsActive                 bit
mCPSPPatient              IsDeleted                bit
mCPSPPatient              UserCreated              varchar
mCPSPPatient              DateCreated              datetime
mCPSPPatient              UserUpdated              varchar
mCPSPPatient              DateUpdated              datetime
mCPSPPatientBillingUnit   CPSPPatientBillingUnit   int
mCPSPPatientBillingUnit   CPSPPatientID            int
mCPSPPatientBillingUnit   PatientID                int
mCPSPPatientBillingUnit   BUDescription            varchar
mCPSPPatientBillingUnit   ProcedureCode            varchar
mCPSPPatientBillingUnit   UnitsAllowed             int
mCPSPPatientBillingUnit   UnitsBilled              int
mCPSPPatientBillingUnit   IsActive                 bit
mCPSPPatientBillingUnit   IsDeleted                bit
mCPSPPatientBillingUnit   UserCreated              varchar
mCPSPPatientBillingUnit   DateCreated              datetime
mCPSPPatientBillingUnit   UserUpdated              varchar
mCPSPPatientBillingUnit   DateUpdated              datetime
mPatient                  PatientID                int
mPatient                  ContactID                int
mPatient                  FirstName                varchar
mPatient                  MiddleName               varchar
mPatient                  LastName                 varchar
mPatient                  BirthDate                datetime
mPatient                  SSN                      varchar
mPatient                  UPI_Number               varchar
mPatient                  FacilityOfRecord         varchar
mPatient                  ArchiveBoxNumber         varchar
mPatient                  FamilySize               int
mPatient                  MotherMaidenName         varchar
mPatient                  Birthplace               varchar
mPatient                  Nickname                 varchar
mPatient                  IsContactAllowed         bit
mPatient                  IsContactAllowedPhone    bit
mPatient                  IsContactAllowedEmail    bit
mPatient                  FamilyMonthlyIncome      money
mPatient                  AKA                      varchar
mPatient                  EmpowerZone              varchar
mPatient                  ClosureReason            varchar
mPatient                  ClosureDate              datetime
mPatient                  PatientReviewDate        datetime
mPatient                  WhoReferred              varchar
mPatient                  WrittenLanguageID        int
mPatient                  SpokenLanguageID         int
mPatient             MaritalStatusID               int
mPatient             ReligionID                    int
mPatient             GenderID                      int
mPatient             RaceID                        int
mPatient             IncomeSourceID                int
mPatient             EmploymentTypeID              int
mPatient             BirthControlMethodID          int
mPatient             IncomeID                      int
mPatient             WorkerTypeID                  int
mPatient             EthnicID                      int
mPatient             IsHeadOfHousehold             bit
mPatient             HospitalMedicalRecordNumber   varchar
mPatient             HospitalID                    int
mPatient             IncomeVerificationDocument    varchar
mPatient             IncomeVerificationUser        varchar
mPatient             IsActive                      bit
mPatient             IsDeleted                     bit
mPatient             UserCreated                   varchar
mPatient             DateCreated                   datetime
mPatient             UserUpdated                   varchar
mPatient             DateUpdated                   datetime
mPatientAdditional   PatientAdditionalID           int
mPatientAdditional   PatientID                     int
mPatientAdditional   IsActive                      bit
mPatientAdditional   IsDeleted                     bit
mPatientAdditional   UserCreated                   varchar
mPatientAdditional   DateCreated                   datetime
mPatientAdditional   UserUpdated                   varchar
mPatientAdditional   DateUpdated                   datetime
mPatientAdditional   IsInterpreterNeeded           varchar
mPatientAdditional   NoEmail                       bit
mPatientAdditional   NoEmergencyPhone              bit
mPatientAdditional   NoPhone                       bit
mPatientAdditional   CommunicationPreference       varchar
mPatientAdditional   SexualOrientation_CID         varchar
mPatientAdditional   SexualOrientation_FSN         varchar
