GEHRIMED EHI Export Data Dictionary Summary
Source: EHI Export All Tables - November2023 (GEHRIMED).pdf
=======================================================
Total tables: 36
Total columns: 912
Columns with descriptions: 12 (1.3%)
Columns with types: 912 (100.0%)

Table                                Cols  Desc  Desc%
-------------------------------------------------------
aspnet_Users                           53    12    23%
Attachments                            16     0     0%
Companyinfo                            32     0     0%
Dictation_ICD                          22     0     0%
Dictation_Items                        11     0     0%
Dictation_Roles                         2     0     0%
Dictations                             59     0     0%
Document                               20     0     0%
EnumTypes                               2     0     0%
EnumValues                              4     0     0%
groups                                 63     0     0%
HL7_Patient                            45     0     0%
HL7_PatientInsurance                   72     0     0%
Interfaces                              8     0     0%
Interfaces_Outbound                     7     0     0%
LabOrder                               43     0     0%
LabResult                              36     0     0%
LabSpecimen                            49     0     0%
Patient_Assessments                    13     0     0%
Patient_History                         6     0     0%
Patient_Imaging                        15     0     0%
Patient_ImmunizationDetails            17     0     0%
Patient_Immunizations                  40     0     0%
Patient_Labs                           64     0     0%
Patient_MedicationAllergy              23     0     0%
Patient_Medications                    39     0     0%
Patient_ProblemList                    21     0     0%
Patient_Procedures                     12     0     0%
Patient_Relationships                   8     0     0%
Patient_Schedule                       16     0     0%
Patient_Vitals                         13     0     0%
PatientImplantableDevice               20     0     0%
Patientinfo                            46     0     0%
Patientinfo_Smoking                     8     0     0%
SmokingCessation                        2     0     0%
SmokingStatus                           5     0     0%
