Total FHIR resources: 18
Total attributes: 171
Attributes with descriptions: 155
Attributes without descriptions: 16
Description coverage: 90.6%
Total search parameters: 48

Per-resource breakdown:
Resource                   Attrs  Described  Search  Profiles
--------------------------------------------------------------
AllergyIntolerance             8          7       2         3
CarePlan                       6          6       3         3
CareTeam                      14         11       3         3
Condition                     13         11       2         3
Device                        17         15       2         3
DiagnosticReport              17         15       5         4
DocumentReference             17         15       5         2
Encounter                     18         16       3         2
Goal                           4          4       2         2
Immunization                   6          6       2         2
Location                       7          5       1         2
MedicationRequest              9          9       5         3
Observation                    8          8       4         8
Organization                   6          6       1         2
Patient                       11         11       3         7
Practitioner                   3          3       2         1
Procedure                      4          4       3         2
Provenance                     3          3       0         1
