schema,table_name,definition,column_count,has_pk
FS,"SXAEHISXAIMGBinaryObject_Blob","This view references IMG File Tables, specifically for EHI export. This is for blobs that are stored in _FS database from SXAIMGBinaryObject table.",3,false
IMG,"SXAIMGElement","Contains an element on a document, such as an image.  This table only describes the image, the actual binary data exists in the SXAIMGBinaryObject table, which is an extension table to this table.",19,true
IMG,"SXAIMGDocumentType","Contains Document Types, which are categories for classifying Documents.  Example Document Types are such things as Drivers License, Insurance Card, etc.  A Document Type may be assigned to many Document Type Sets",16,true
IMG,"SXAIMGDocTypeSetXRef","Cross-reference tables used to map Document Types to a Document Type Set.  A Document Type may be mapped to many Document Type Sets.  A Document Type Set may have many Document Types.",13,true
IMG,"SXAIMGDocument","A Document contains one or more pages (images) that have been scanned.  A Document is of a single Document Type",17,true
IMG,"SXAIMGRelatedElementXref","Table allows us to map an element to another element.  An image can have an annotation, which may also contain binary data",11,false
IMG,"SXAIMGBinaryObject","Contains binary data for storing media such as images.  Is an extension table to SXAIMGElement",14,false
IMG,"SXAIMGDocumentTypeSet","A Document Type Set is a group of Document Types.  An application that wants to display certain document types in a given context will launch Imaging with a specific Document Type Set.",14,true
MNC,"SXAMNCProcedureDetails","This table contains the HCPCS codes specifying the procedures used in Medical Necessity Checking.",13,true
MNC,"SXAMNCQueryProcedure","This table contains a history of the HCPCS codes specifying the procedures sent for  Medical Necessity Checking during a Query transaction.",18,true
MNC,"SXAMNCQuery","This table contains the Medical Necessity Checking query information that is saved once a user has run a query that has passed or failed.",17,true
MNC,"SXAMNCReason","This table contains a history of the HCPCS codes specifying the procedures sent for  Medical Necessity Checking during a Query transaction.",11,true
MNC,"SXAMNCABNForm","This table contains the Medical Necessity Checking query information that is saved once a user has run a query that has passed or failed.",20,true
MNC,"SXAMNCConfig","This table contains all the general configuration information pertaining to MNC functionality",15,true
MNC,"SXAMNCCustomPickListItem","This table defines the items that are contained in a custom pick list.",14,true
MNC,"SXAMNCProviderNumber","Store providers information for Medical Necessity System",14,true
MNC,"SXAMNCRuleSetXRef","This table contains custom rules sets for Medical Necessity Checking if the environment chooses not to use the third party (HSS) functionality.",12,true
MNC,"SXAMNCCustomPickList","This is table provides the environment the ability to create custom pick lists to specify the proper diagnosis/procedure combination for Medical Necessity Checking",14,true
MNC,"SXAMNCQueryHealthIssue","This table contains the Medical Necessity Checking query information that is saved once a user has run a query that has passed or failed.",12,true
SCM,"SXACDeICRResponseCrossMapping","To save Cross mapping for eICR CCDA and its Response Document.",12,true
SCM,"SXARCMDictionaryDetail","Contains details of the dictionary entities like DataContracts, custom editors, filtering and sorting criteria,",16,true
SCM,"SXASRGChargingPolicyProviderXRef","The cross reference table associating the role time based charging  policy to a surgery staff. A role time based charging policy may contain one or more surgery staff.",10,true
SCM,"SXAMMGIChargeAlgorithm","This entity identifies the link between Generic Item and Charge Algorithm.",13,true
SCM,"SXARCMDenialSubCategory","This table is used to store Denial Sub Categories",13,true
SCM,"SXAHMEventOccurrenceRule","Defines the completion rules for each occurrence of a series, specifying when the occurrence should be completed relative to a reference date, such as date of birth, as well as the spacing between this occurrence and the next occurrence in the series.  These rules are used to calculate when the next occurrence should be administered, or the completion schedule for the entire series.",19,true
SCM,"SXARCMAbstractDentalToothStatus","This table is created to store tooth status details as a part of abstract information",12,true
SCM,"SXAAMBMultumRouteCodeXRef","holds Multum Product to Clinical Routes cross reference",8,true
SCM,"SXASRGChargingTransactionSet","Contains a collection of transactions generated for a particular charging/billing run, plus the date and statuses of the run.",11,true
SCM,"SXABatchAccessGroup","This table stores the batch access groups. The batch access group code is assigned to batch list to restrict user group to view and maintain batch list.",13,true
SCM,"SXAAMDictionaryDependencyDefinition","Contains the dictionary dependency definition",11,true
SCM,"CV3Race","Dictionary of Races.",15,true
SCM,"SXARCMFacilityMessage","User-defined messages, customizable per facility, that can be used for purposes such as Patient Transparency Letter or other generated output",13,true
SCM,"SXARCMDenialConfigAccountGroup","This table is used to store Denial Config Account Groups",10,true
SCM,"SXAMMRouteOrderTypeXref","Current logic in SMM identifies the Order Type for a SCM placed order by looking into the SCM Form attributes. This will be an issue in cases where the same form in SCM is used for multiple Order Types. With the new table in place, SMM can identify Order Types based on route.",11,true
SCM,"SXACCIDLClientImplant","To store client Implant Details",36,true
SCM,"SXAAMBAllergyClass","Reference table for allergy classes",12,true
SCM,"SXAAMFindPatientCriteriaSource","The purpose of SXAAMFindPatientCriteriaSource is to allow partners to configure plug-ins for a new tab in Find Patient that allows them to gather search criteria by some other way than manual entry (eg. swiping a card).",12,true
SCM,"SXAHMEventCategory","Dictionary of event categories that are used for filtering the events listed in the client's schedule of events.",11,true
SCM,"SXASHUser","This table contains user information for the SHM Application.  The purpose for the table is to map the SHM internal user id to XA User or XA Patient information.  All information besides mapping, is collected from the XA Interface modules that collect data from the XA tables.",12,true
SCM,"SXAAMTransportReason","Dictionary for the Transport Reason field",11,true
SCM,"SXARCMChargeTransactionOverrideAddlInfo","Contains additional override details for charge Transactions.",22,true
SCM,"SXARCMRuleRuleDictionaryXREF","Storing Relation between Dictionary Entities information and Rule",10,true
SCM,"SXARCMDiscoverAction","To Stores different actions",17,true
SCM,"SXAESProfileException","Stores the profile details for exceptions to recurring profiles",15,true
SCM,"CV3CodedTime","A code which translates into a time period. For example, AM may translate into 8:30 - 12:00.",20,true
SCM,"SXAMMStockItemNote","This entity contains a list of notes (and their note type) associated with the stock item.",14,true
SCM,"CV3RxPolicyDtl","Defines the pharmacy policy details that can be associated to an order catalog item with a form of medication type.   This controls the verification behavior of a pharmacy order and how warning messages are displayed.This table, together with CV3RxPolicy, will allow the site to define the locations at which an order catalog item requires pharmacy verification and whether the tasks are displayed on the worklist before or after verification",20,true
SCM,"SXAAMBDrugLabelXRef","Stores associations between drugs and text to print on prescription labels when drugs are prescribed.",12,true
SCM,"SXAAMBScriptFrequency","Reference table for prescription frequencies.",14,true
SCM,"CV3OrderRoute","Dictionary of Order Routes.",14,true
SCM,"SXARCMClaimFormatColumnAlias","Stores the mapping between actual column in the claim & the column to be shown in Level & Sort By",14,true
SCM,"SXARCMWorksheetHoldType","Storing all Worksheet Hold type information like Crossover, Claim Edits etc.",9,true
SCM,"SXARCMClaimValidationTemplate","This table stores SFM-specific EDI validation templates",10,true
SCM,"SXAAMAccommodation","Complex dictionary of accommodations.  Accommodations are attributes that are associated that are associated with a location via the visit.",14,true
SCM,"SXARCMERATransactionSetProviderAdjustment","table holding provider level adjustments for a transaction set",20,true
SCM,"SXAAMAdmitSource","Dictionary of admit sources.  Admit sources are associated with visits and indicate from where the client was admitted.",13,true
SCM,"CV3ClientIDType","Dictionary of Client ID Types.",25,true
SCM,"SXAMMBilledTransactionDetail","The Billed Transaction and Billed Transaction Detail tables contain the Audit History for the Billing Interface. This data represents the parameters used to generate the data in the Bill Charge Header and Bill Charge Detail tables below.Financial TransactionBilled Audit Trail Financial Transaction consists of one Billed Transaction and 1 or more Billed Transaction Details.There is one Billed Transaction for each Bill Charge HeaderThere is one Billed Transaction Detail for each Bill Charge Detail.If there was an Error returned by Determine Price, the Billing Interface will still create a Billed Transaction and the associated Billed Transaction Detail records, but will not create corresponding Bill Charge Header and Bill Charge Detail rows.Billed TransactionBilled Transaction identifies Patient and Order related information used to generate a Financial  Transaction. This information is maintained for audit purposes, and used to derive the data that populates the PID segment in the Financial Transaction sent to the Financial System.Billed Transaction DetailBilled Transaction Detail identifies Drug, Cost, and Price information used to generate a Financial Transaction. This information is maintained for audit purposes, and used to derive the data that populates the FT1 segment in the Financial Transaction sent to the Financial System.Billed TransactionBilled Transaction identifies Patient and Order related information used to generate a Financial  Transaction. This information is maintained for audit purposes, and used to derive the data that populates the PID segment in the Financial Transaction sent to the Financial System.Billed Transaction DetailBilled Transaction Detail identifies Drug, Cost, and Price information used to generate a Financial Transaction. This information is maintained for audit purposes, and used to derive the data that populates the FT1 segment in the Financial Transaction sent to the Financial System.",27,true
SCM,"SXARCMMedicareDeductible","Medicare Part-A yearly deductible amounts",11,true
SCM,"SXARCMClaimWorksheetGroupWorksheetXref","Claim Worksheets associated with Claim Worksheet Group",20,true
SCM,"CV3OrderReconcileType","Allows the facility to create order reconciliation type codes and map them to a system-supplied internal order reconciliation type.  The internal reconciliation types are enumerated values referenced from CV3EnumReference.",25,true
SCM,"SXARCMBillingIntervalOption","This is a new system dictionary for billing interval options.",11,true
SCM,"CV3ObsCatalogSetItemVersion","This new table is the copy of CV3ObsCatalogSetItem table having some additional columns at the end",41,true
SCM,"SXARCMRateCodeMethodGroup","This table is created to store the Rate Group details.",16,true
SCM,"SXASRGSurgeryAdministratorPermission","To store the permissions of the Surgery Administrator.",13,true
SCM,"SXAINVMasterItem","Table to store Inventory Items",19,true
SCM,"SXAHMVaccineMedicationStockItem","This Health Management configuration table defines the stock, including lot number, expiration, and source, of specific products for a given brand and packaging of a vaccine medication.",14,true
SCM,"SXARCMERPerDiemExceptionDetail","save Per Diem method type's exceptions",11,true
SCM,"SXAHMVaccineMedicationItem","This Health Management configuration table defines the brand names, or trade names, and their manufacturers that may be associated with a vaccine.",12,true
SCM,"CV3VerificationPolicyDtl","Defines verification policy in terms of who ordered and who entered.",22,true
