"FieldName","Description"
"PatientPortalReceivedDate","Date when the content was received in the patient portal."
"PatientPortalReleasedDate","Date when the content was released in the patient portal."
"isPrecharted","Indicates whether the content was precharted."
"ColorCode","Code representing the color associated with the content."
"FormContent","Content of the form."
"ServiceDate","Date of service related to the content."
"ChartNoteKey","unique Key to patient's chart note data."
"isContentHTML","Indicates whether the content is in HTML format."
"PatientPortalReleasedBy","Person who released the content in the patient portal."
"FormName","Name of the form."
"AddedDate","Date when the record was added."
"VisitKey","identifier for patient visits."
"PatientKey","identifier for the patient."
"addedby","name of the user who added the record."
"CosignDate","Date when the content was cosigned."
"SignedDate","Date when the content was signed."
"DeletedDate","Date when the record was deleted."
"deletedby","Name of the user who deleted the record."
"CosignBy","Person who cosigned the content."
"isDraft","Indicates whether the content is a draft."
"Doctor","eivf Author of the form"
"Facility","Facility associated with the content."
"NeedCosignBy","Person who needs to cosign the content."
"Signedby","Person who signed the content."
