"FieldName","Description"
"TissueCycleStartDate","Start date of the tissue cycle."
"deletedby","Name of the person who deleted the entry."
"OocyteCycle","Cycle related to oocyte."
"TissueCode","Code for tissue."
"isSpermCharges","Indicates if there are sperm charges."
"addedby","Name of the person who added the entry."
"TissueCycleBillTo","Billing details for tissue cycle."
"OocyteCycleBillTo","Billing details for oocyte cycle."
"SpermCycle","Cycle related to sperm."
"Notes","Additional notes or details."
"AddedDate","Date when the entry was added."
"SpermCycleChargeAmount","Amount charged for sperm cycle."
"DeletedDate","Date when the entry was deleted."
"PatientKey","identifier for the patient."
"EmbryoCycleBillTo","Billing details for embryo cycle."
"SpermCode","Code for sperm."
"OocyteCode","Code for oocyte."
"EmbryoCycleStartDate","Start date of the embryo cycle."
"CryoBillingkey","Billing key for cryo."
"isTissueCycleAutoBillingEnabled","Indicates if auto billing is enabled for tissue cycle."
"OocyteCycleChargeAmount","Amount charged for oocyte cycle."
"EmbryoCycle","Cycle related to embryo."
"TissueCycleChargeAmount","Amount charged for tissue cycle."
"OocyteCycleStartDate","Start date of the oocyte cycle."
"SpermCycleBillTo","Billing details for sperm cycle."
"TissueCycle","Cycle related to tissue."
"isSpermCycleAutoBillingEnabled","Indicates if auto billing is enabled for sperm cycle."
"ICD10Codes","ICD-10 codes."
"isOocyteCycleAutoBillingEnabled","Indicates if auto billing is enabled for oocyte cycle."
"EmbryoCode","Code for embryo."
"isEmbryoCycleAutoBillingEnabled","Indicates if auto billing is enabled for embryo cycle."
"isOocyteCharges","Indicates if there are oocyte charges."
"isTissueCharges","Indicates if there are tissue charges."
"EmbryoCycleChargeAmount","Amount charged for embryo cycle."
"sperm_cycledate","Date of the sperm cycle."
"isEmbryoCharges","Indicates if there are embryo charges."
"PayJunctionTransactionID","Transaction ID from PayJunction."
"PayJunctionTransactionResult","Result of the transaction from PayJunction."
