"FieldName","Description"
"DailyWorklistKey","Key associated with the daily worklist."
"isEMR","Indicates if it's related to EMR (Electronic Medical Records)."
"FaxDocumentKey","Key associated with faxed documents."
"isSticky","Indicates if the document is marked as sticky."
"DocumentMime","MIME type of the document."
"forwardedby","Name of the user who forwarded the document."
"PatientPortalReleasedBy","Name of the user who released the document on the patient portal."
"isNeedSeal","Indicates if the document needs to be sealed."
"ColorCode","Color code associated with the document."
"Facility","Facility where the document is associated."
"DocumentProcessor","Processor or handler of the document."
"PatInsurekey","Key associated with patient insurance."
"PartnerPortalReleasedBy","Name of the user who released the document on the partner portal."
"sealedDate","Date when the document was sealed."
"notes","Additional notes or comments about the document."
"PatInfoPrintType","Print type of patient information."
"PartnerPortalReleasedDate","Date when the document was released on the partner portal."
"VisitKey","identifier for patient visits."
"StudyInfo","Information related to a study."
"isPreCharting","Indicates if pre-charting is involved."
"DocumentDescription","Description of the document."
"EmrLabOrderKey","Key associated with EMR lab orders."
"Formname","Name of the form associated with the document."
"FormData","Data contained within the form."
"PatientPortalReceivedDate","Date when the document was received on the patient portal."
"isPrivate","Indicates if the document is private."
"needattention","Indicates if the document needs attention."
"PatientKey","identifier for the patient."
"RingcentralID","Identifier associated with Ringcentral."
"sealedby","Identifier of the user who sealed the document."
"EmrCycleKey","Key linking to EMR cycle data."
"SecName","Name of the section associated with the document."
"DocumentSource","Source of the document."
"isNewPatient","Indicates if it's related to a new patient."
"DocumentData","Data contained within the document."
"DocumentHash","Hash value associated with the document."
"CategoryType","Type of document category."
"AppointmentKey","Key associated with appointments."
"addedby","name of the user who added the document."
"PartnerPatientKey","Key associated with partner patients."
"UserLog","Log data related to the user."
"needsign","Indicates if the document needs to be signed."
"DocumentKey","unoque Key the document."
"DocumentDate","Date associated with the document."
"AddedDate","Date when the document was added."
"isEduExpired","Indicates if education related to the document has expired."
"SignDocumentKey","Key associated with signed documents."
"EmrPlanKey","Key linking to EMR plan data."
"ParentDocumentKey","Key identifying the parent document."
"missingfile","Indicates if a file is missing."
"DocumentName","Name of the document."
"DocumentFileName","File name of the document."
"isRestricted","Indicates if the document is restricted."
"PaymentKey","Key associated with payments."
"DocumentType","Type of the document."
"PatientPortalReleasedDate","Date when the document was released on the patient portal."
"EmrIvfSemenAnalysisKey","Key associated with EMR IVF semen analysis."
"ForwardNote","Note related to forwarding the document."
