"FieldName","Description"
"SubmittedDate","Date when the profile was submitted."
"PatientKey","identifier for the patient associated with the profile."
"DonorKey","identifier for the donor associated with the profile."
"DonorProfileFamilyHistoDetails","Details of the donor's family history in the profile."
"DonorProfileDetailKey","Unique key for the profile detail."
"DonorProfileQuestionsDetails","Details of the donor's profile questions."
"AddedDate","Date when the profile was added."
"VisitKey","identifier for the visit associated with the profile."
"DonorProfileSelectedSection","Section(s) of the profile that was selected."
"reviewedby","Name of the person who reviewed the profile."
"ReviewDate","Date when the profile was reviewed."
"DonorProfileSource","Source of the donor's profile."
