"FieldName","Description"
"PatientKey","identifier for the patient."
"EmrAnswerDetailKey","unique key to patient's answer detail data."
"VisitKey","identifier for patient visits."
"Answer","Answer provided for a specific question."
"Specifications","Specifications related to the answer."
"EmrPregnancyKey","Key linking to patient's pregnancy data."
"QuestionNameCode","Code associated with the question's"
"diagnosis","Diagnosis or assessment related to the answer."
"Doctor","doctor or healthcare professional."
"Question","The question posed to the patient."
"DeletedDate","Date when the record was deleted."
"recordid","identifier for each record."
"addedby","name of the user who added the record."
"deletedby","name of the user who deleted the record."
"AddedDate","Date when the record was added."
