"FieldName","Description"
"addedDate","Date when the record was added."
"EmrBiologicalFamilyKey","Unique Key to patient's biological family data."
"otherrelationship","Other specified relationship information."
"relationship","The type of relationship between family members."
"recordid","Unique identifier for each record."
"FamilyPatientKey","Patient that initiate the family, the ID become the Family ID"
"relativeKey","Unique identifier for the relative."
"addedby","name of the user who added the record."
"MemberPatientKey","Member of family (Patient ID)"
"VisitKey","Visit ID when user edit the family member"
