"FieldName","Description"
"DeletedDate","Date when the entry was deleted (if applicable)."
"CycleEducationkey","Unique key for the cycle education."
"patientKey","identifier for the patient associated with the education."
"Instructions","Instructions related to the education."
"Documentkey","identifier for the document associated with the education."
"EMRCyclekey","identifier for the EMR cycle associated with the education."
"addedby","Name of the person who added the education."
"AddedDate","Date when the education was added."
"deletedby","Name of the person who deleted the education entry."
"PatientReadDate","Date when the patient read the education."
