"FieldName","Description"
"TransferDay","Day of embryo or egg transfer."
"EggSource","Source of eggs."
"DeletedDate","Date when the record was deleted."
"SortOrder","Order in which records are sorted."
"Drugs","Drugs administered during the cycle."
"EggsTransferred","Number of eggs transferred."
"date","Date of the record."
"EggsFrozen","Number of eggs frozen."
"type","Type of cycle."
"TotalCount","Total count of eggs or embryos."
"Dose","Dose of medication."
"EggsRetrieved","Number of eggs retrieved."
"AddedDate","Date when the record was added."
"isICSI","Indicates whether Intracytoplasmic Sperm Injection (ICSI) was performed."
"patientKey","Key associated with the patient."
"vials","Number of vials used."
"deletedby","User who deleted the record."
"EggsFertilized","Number of eggs fertilized."
"Monitoring","Monitoring during the cycle."
"Medicated","Indicates whether the cycle involved medication."
"OutcomeNote","Notes about the cycle outcome."
"EmrCycleHistoryKey","unique Key associated with the EMR cycle history."
"isHadCycles","Indicates whether the patient had previous cycles."
"Complications","Complications during the cycle."
"Outcome","Outcome of the cycle."
"EggsThawed","Number of eggs thawed."
"SpermDelivery","Delivery of sperm."
"EggsSurvived","Number of eggs that survived."
"addedby","User who added the record."
"DrugDuration","Duration of medication administration."
