"FieldName","Description"
"DonorType","Type of donor."
"SpermStatus","Status of sperm."
"DonorIDandBank","ID and bank information of the donor."
"ExtraEggTo","Extra eggs used for."
"isDelayingTransferPGD","Indicates whether transfer is delayed to obtain Genetic Information"
"CollectionMethod","Method of collection."
"isDonorOocyte","Indicates if donor oocytes were used."
"isGestationalCarrier","Indicates if there is a gestational carrier."
"isDonorFreezeAll","Indicates if all oocytes/embryos are frozen."
"isGIFT","Indicates if Gamete Intrafallopian Transfer (GIFT) was used."
"isZIFT","Indicates if Zygote Intrafallopian Transfer (ZIFT) was used."
"isThawedOocyte","Indicates if thawed oocytes were used."
"isPatientMixed","Indicates if there is patient mixing."
"isDonorEmbryo","Indicates if donor embryos were used."
"SpermDetailedPlan","Detailed plan for sperm."
"isThawedEmbryo","Indicates if thawed embryos were used."
"isDonorMixed","Indicates if there is donor mixing."
"isPatientFreezeAll","Indicates if all patient oocytes/embryos are frozen"
"isAutologous","Indicates if the cycle is autologous (using the patient's own eggs)."
"SpermSource","Source of sperm."
"isBankingDueGonadotoxicTreatment","Indicates if banking is due to gonadotoxic treatment."
"isOocyteBanking","Indicates if oocyte banking was done."
"isEmbryoBanking","Indicates if embryo banking was done."
"isIVF","Indicates if In Vitro Fertilization (IVF) was used."
"isDelayingTransferOther","Indicates if transfer was delayed for other reasons."
"EmrCycleKey","Key associated with the EMR cycle."
"isLocked","Indicates if the cycle is locked."
"isPartnerMixed","Indicates if there is partner mixing."
"isFresh","Indicates if the cycle is fresh."
