"FieldName","Description"
"deletedby","Name of the person who deleted the entry."
"DeletedDate","Date when the entry was deleted (if applicable)."
"DonorPatrequestNotes","comments related to the donor patient request."
"ApprovedDate","Date when the request was approved."
"DonorKey","identifier for the donor associated with the request."
"PatientKey","identifier for the patient associated with the request."
"EmrIvfSampleKey","identifier for the EMR IVF sample."
"addedby","Name of the person who added the entry."
"AddedDate","Date when the entry was added."
"approvedby","Name of the person who approved the request."
"EmrDonorPatrequestKey","Unique key for the EMR donor patient request."
