"FieldName","Description"
"committedDate","Date when the record was committed."
"deletedDate","Date when the record was deleted."
"addedby","name of the user who added the record."
"EmrPregnancyKey","Identifier for the pregnancy record."
"CalcDate","date entered by the user for the purpose of calculation (eg LMP date, day ultrasound was performed)"
"ultrasoundDays","if method is ultrasound, then # days old the baby appeared at the time of the ultrasound"
"method","Method used for the calculation."
"deletedby","Name of the user who deleted the record."
"EmrEstimatedDueDateKey","Unique Key to patient's estimated due date data."
"addedDate","Date when the record was added."
"ultrasoundWeek","if method is ultrasound, then # weeks old the baby appeared at the time of the ultrasound"
"DueDate","Estimated due date."
"PatientKey","identifier for the patient."
"committedby","Name of the user who committed the record."
"recordid","identifier for each record."
