"FieldName","Description"
"addedDate","Date when the record was added."
"onsetdate","Date when the health concern started."
"EmrHealthConcernKey","Unique Key to patient's health concern data."
"Addedby","Name of the user who added the record."
"status","Status of the health concern."
"resolvedby","Name of the user who resolved the health concern."
"EmrProblemKey","Key linking to patient's problem data related to the concern."
"notes","Additional notes or comments related to the concern."
"PatientKey","identifier for the patient."
"deletedDate","Date when the record was deleted."
"ConcernDetails","Details or specifics of the health concern."
"SnomedCode","SNOMED code associated with the concern."
"VisitKey","identifier for patient visits."
"deletedby","Name of the user who deleted the record."
"resolvedDate","Date when the concern was resolved."
