"FieldName","Description"
"AddedDate","Date when the record was added."
"addedby","name of the user who added the record."
"dxtempsource","Source of the diagnostic temperature data."
"PatientKey","identifier for the patient."
"hpi","History of Present Illness (HPI) information."
"EmrHpiKey","Unique Key linking to patient's HPI data."
"isiPadStructured","Indicates whether the data is structured for iPad."
"displaydate","Date for display purposes."
"ProblemFocusedExamination","Examination focused on the problem."
"recordid","identifier for each record."
"VisitKey","identifier for patient visits."
"ComplaintDetails","Details or specifics of the patient's complaint."
"deletedby","name of the user who deleted the record."
"isWizard","Indicates whether a wizard was used for data entry."
"DeletedDate","Date when the record was deleted."
