"FieldName","Description"
"DeletedDate","Date when the record was deleted."
"addedby","Name of the user who added the record."
"PeroidsDiscontinuingReason","Reason for discontinuing periods."
"isSexuallyActive","Indicates if the patient is sexually active."
"VisitKey","identifier for patient visits."
"isRegularPeriod","Indicates if the periods are regular."
"isPain","Indicates if there is pain during periods."
"MenstruationOnsetAge","Age of onset of menstruation."
"cycle","Menstrual cycle duration."
"PatientKey","identifier for the patient."
"EmrObgynhcKey","Unique Key to OB/GYN health data."
"EmrPregnancyKey","Key linking to pregnancy data."
"BleedingSinceLMP","Indicates if there has been bleeding since the last menstrual period (LMP)."
"isIrregularPeriod","Indicates if the periods are irregular."
"recordid","identifier for each record."
"deletedby","Name of the user who deleted the record."
"AddedDate","Date when the record was added."
"isSpotting","Indicates if spotting is present."
