"FieldName","Description"
"DoneVisitKey","identifier for the visit when the task was completed."
"EmrCycleKey","Key linking to patient's cycle data."
"letter","Content of a letter or communication."
"EmrPlankey","Unique Key to patient's plan data."
"PortalRremovedDate","Date when the record was removed from the portal."
"EmrAssessmentKey","Key linking to patient's assessment data."
"CPTCode","Code associated with a CPT procedure."
"assignedto","Person assigned to the task or assessment."
"OrignalEmrPlanKey","Key linking to the original plan data."
"recordid","identifier for each record."
"patientportalReceivedDate","Date when the record was received in the patient portal."
"appointmentKey","identifier for patient appointments."
"period","Period associated with the record."
"SNOMEDCode","SNOMED code associated with the record."
"LetterDueDate","Date when a letter is due."
"GenericType","General type or category of the record."
"PlanType","Type of plan associated with the record."
"VisitKey","identifier for patient visits."
"AddedDate","Date when the record was added."
"EmrWellnessPlanKey","Key linking to patient's wellness plan data."
"addedsource","Source from which the record was added."
"PatientKey","identifier for the patient."
"Notes","Additional notes or comments related to the record."
"changedDate","Date when changes were made to the record."
"isUsePQRICalculation","Indicates whether PQRIs were used for calculation."
"addedby","Name of the user who added the record."
"doneby","nameof the user who completed the task."
"isRequired","Indicates whether the record is required."
"PlanDetails","Details or specifics of the plan."
"PortalRremovedBy","Person who removed the record from the portal."
"DoneDate","Date when the task was completed."
"EmrProblemKey","Key linking to patient's problem data."
