"FieldName","Description"
"problemName","Name or description of the problem."
"ProblemTypeLoinc","LOINC code associated with the problem's type."
"onsetdate","Date when the problem was first identified or onset occurred."
"resolvedVisitkey","Visit key when the problem was resolved."
"ProblemTypeLoincText","Text description of the LOINC code for problem type."
"GoalSnomed","SNOMED code associated with the problem's goal."
"ProblemTypeSnomed","SNOMED code associated with the problem's type."
"resolvedby","Name of the person who resolved the problem."
"changedDate","Date when changes were made to the record."
"PatientKey","identifier for the patient."
"SnomedCode","SNOMED code associated with the problem."
"problemType","Type or category of the problem."
"recordid","identifier for each record."
"addedby","name of the user who added the record."
"EmrPregnancyKey","Key linking to patient's pregnancy data."
"TreatedBy","healthcare professional who treated the problem."
"isInactive","Indicates whether the problem is inactive."
"problemCategory","Category to which the problem belongs."
"Visitkey","identifier for patient visits."
"ICD9Code","ICD-9 code associated with the problem."
"EmrProblemKey","Key linking to patient's problem data."
"uuid","Universally unique identifier to link with external system"
"resolvedDate","Date when the problem was resolved."
"TargetDate","Target date for resolving the problem."
"addedDate","Date when the record was added."
"ICD10Code","ICD-10 code associated with the problem."
"ProblemType","Type or category of the problem."
"problemGoal","Goal associated with addressing the problem."
