"FieldName","Description"
"isReferrerDoctor","Indicates if the doctor is a referrer."
"DoneDate","Date when the action was done or completed."
"recordid","Identifier for the record."
"addedby","Name of the person who added the entry."
"TransferReason","Reason for the transfer."
"deletedby","Name of the person who deleted the entry."
"DeletedDate","Date when the entry was deleted."
"TransferDirection","Direction of the transfer. (""Out"", ""In"")"
"PatientKey","identifier for the patient associated with the transfer."
"TransferDate","Date of the transfer."
"FormDocumentKey","identifier for the form document associated with the transfer."
"ChartPrintedDate","Date when the chart was printed."
"EmrPlanKey","identifier for the EMR plan associated with the transfer."
"TransferAction","Action related to the transfer. (""Referral"", ""Transfer"", ""Discharge"")"
"VisitKey","identifier for the visit associated with the transfer."
"ChartPrintedBy","Name of the person who printed the chart."
"doneby","Name of the person who performed the action."
"EmrTransferKey","Unique key for the EMR transfer."
"ReferrerDoctor","Doctor who referred the transfer."
"Doctor","Name of the doctor associated with the transfer."
"CCDDocuemntKey","identifier for the CCD document associated with the transfer."
"AddedDate","Date when the entry was added."
