"FieldName","Description"
"DeletedDate","Date when the record was deleted."
"NewcropDrugName","Name of the drug from Newcrop data."
"PlanDetails","Details or specifics of the plan."
"patientKey","Unique identifier for the patient."
"AddedDate","Date when the record was added."
"addedby","name of the user who added the record."
"EmrWellnessPlanKey","Unique Key to patient's wellness plan data."
"PlanType","Type of plan associated with the record."
"EmrProblemKey","Key linking to patient's problem data."
"WellnessPlan","The actual wellness plan or instructions."
"deletedby","name of the user who deleted the record."
"Measurement","Measurements associated with the wellness plan."
"Goal","Goals specified in the wellness plan."
