"FieldName","Description"
"RequestType","Type of the request."
"RequestRecallCompletedDate","Date when the request recall was completed."
"PatientKey","identifier for the patient associated with the request recall."
"RequestRecallAssignedTo","Name of the person to whom the request recall was assigned."
"AppointmentKey","identifier for the appointment associated with the request recall."
"resourceName","Name of the resource."
"RequestDetails","Additional details or information about the request recall."
"RequestRecallKey","Unique key for the request recall."
"appointmentType","Type of appointment associated with the request recall."
"RequestRecallDueDate","Date by which the request recall is due."
"RequestRecallStartedBy","Name of the person who started the request recall."
"RequestRecallCompletedBy","Name of the person who completed the request recall."
"RequestRecallStartedDate","Date when the request recall was started."
"RequestSate","State of the request."
"RequestRecallDoctor","Doctor associated with the request recall."
