"Table Description",""
"This table contains the base patient record including the Primary Key (PatientKey) referenced from other data tables.  Note that this primary key is not normally published or exposed within the software and is not the same as the Account Number or Medical Record number (PatientAccount)",""
"FieldName","Description"
"patientdischfoc","Head circumference (cm) at time of discharge"
"noproblemdate","Date Patient indicated no Problem history"
"patientimmunizationschedule","Identifier of immunization schedule template used for patient"
"nohealthconcerndate","Date patient indicated no Health Concerns"
"norxhistorydate","Date patient indicated no Current Medications"
"patientbloodrh","Patient's blood Rh factor."
"patientrace","Patient's racial background, comma separated if multiple"
"patientreligion","Patient's religious affiliation, comma separated if multiple"
"patientapgar","Apgar score of the patient, used to assess the newborn's health immediately after birth."
"nosurghistorydate","Date patient indicated no Surgical History"
"patientbirthfoc","Head cicumference (cm) at time of birth"
"noinfevaldate","Date patient indicated no history of Prior Infertility Evaluations"
"noallergydate","Date patient indicated no history of Allergies"
"patientdischnote","Notes regarding the newborn patient's discharge from the hospital"
"nofamhistoryreason","Reason for no family history being available, such as being Adopted"
"nobloodworkdate","Date patient indicated no previous blood work"
"nomedhistdate","Date patient indicated no previous medical history"
"nosurghistdate","Date patient indicated no previous surgeries"
"rfaAbnormalSpermParameters","Indication of abnormal sperm parameters in male patients."
"rfaAzoospermiaObstructive","Presence of obstructive azoospermia in male patients."
"rfaPriorVasectomy","Indication of a previous vasectomy in male patients."
"rfaAzoospermiaNonobstructive","Presence of non-obstructive azoospermia in male patients."
"rfaOligospermiaModerate","Indication of moderate oligospermia in male patients."
"rfaLowMotility","Indication of low sperm motility in male patients."
"rfaMale","Gender indication, specifying male patients."
"rfaMedicalCondition","Information about a specific medical condition."
"rfaGeneticOrChromosomalAbnormality","Indication of a genetic or chromosomal abnormality in the patient."
"rfaSpecifyGenChromAbnormality","Specific details about the genetic or chromosomal abnormality if applicable."
"rfaDimOv","Diminished Ovarian Reserve - Indicates a reduced quantity or quality of eggs in female patients."
"rfaLowMorphology","Low Morphology - Indicates a low percentage of normally shaped sperm in male patients."
"rfaOligospermiaSevere","Severe Oligospermia - Indicates an extremely low sperm count in male patients."
"rfaVerySevereMaleFactor","Very Severe Male Factor - Indicates a significant male infertility issue."
"rfaEndo","Endometriosis - Indicates the presence of endometrial tissue outside the uterus in female patients."
"rfaTubLig","Tubal Ligation - Indicates that the patient has undergone tubal ligation as a contraceptive method."
"rfaTubHydros","Hydrosalpinx - Indicates the presence of fluid in the fallopian tubes in female patients."
