"FieldName","Description"
"EmailCode","Code for the email."
"EmailBody","Content of the email."
"deletedby","Name of the person who deleted the email."
"VisitKey","identifier for the visit associated with the email."
"PatientSurveyKey","Unique key for the patient survey associated with the email."
"patientKey","identifier for the patient associated with the email."
"SentDate","Date when the email was sent."
"sendlaterdate","Date for sending the email later."
"addedby","Name of the person who added the email."
"DeletedDate","Date when the email was deleted (if applicable)."
"ArchivedDate","Date when the email was archived."
"PatientReviewedOnDate","Date when the patient reviewed the email."
"PatientLastAccessDate","Date of the patient's last access to the email."
"SendBy","Name of the person who sent the email."
"AddedDate","Date when the email was added."
