"FieldName","Description"
"addedby","Name or identifier of the person who performed the action."
"PerformedAction","Action performed."
"insurancePayment","Payment made by insurance."
"insurancepolicylevel","Level or type of insurance policy."
"Patientcopay","Copayment amount made by the patient."
"isFinalInsurancePayer","Indicates if the insurance is the final payer."
"PatientAdjustment","Adjustment made for the patient."
"ledgeritemKey","Unique key or identifier."
"procedureKey","Unique key or identifier for the procedure."
"visitKey","Unique key or identifier for the visit."
"paymentKey","Unique key or identifier for the payment."
"reportingdate","Date when the action was reported."
"InsuranceunOverAmount","Uncovered or outstanding amount not covered by insurance."
"procedurechargeKey","Unique key or identifier for the procedure charge."
"Patientdeduct","Deductible amount for the patient."
"InsuranceAdjustment","Adjustment made by insurance."
"InsuranceunpaidAmount","Unpaid amount not covered by insurance."
"Patientpayment","Payment made by the patient."
"visitpayKey","Unique key or identifier for the visit payment."
"Patientcoins","Coinsurance amount for the patient."
"PatientInitialCharge","Initial charge amount for the patient."
"addedDate","Date when record was added."
"Patientassign","Assign amount to the patient."
"patientKey","Unique key or identifier for the patient."
"ProcedureNotCovered","Indicates if the procedure is not covered by insurance."
"InsuranceInitialCharge","Initial charge amount covered by insurance."
