"FieldName","Description"
"receiver","Receiver of the SMS message."
"attempts","Number of delivery attempts."
"type","Type of SMS message."
"ServiceName","Name of the service."
"DeliveredDate","Date when the message was delivered."
"isShowInChart","Indicates if the message should be shown in a chart."
"status","Status of the message."
"sentDate","Date when the message was sent."
"receivedDate","Date when the message was received."
"message","Content of the SMS message."
"ErrorMsg","Error message related to the SMS."
"closedDate","Date when the message was closed."
"ReceiverNumber","Phone number of the message receiver."
"closedby","Name of the user who closed the message."
"batchedDate","Date when the message was batched."
"scheduleDate","Date when the message is scheduled."
"ServiceNumber","Service number associated with the record."
"addedDate","Date when the record was added."
"price","Price of the SMS message."
"DeletedDate","Date when the record was deleted."
"deletedby","name of the user who deleted the record."
"NumSegments","Number of segments in the message."
"PriceUnit","Unit of price."
"senderName","Name of the sender."
"ErrorCode","Error code related to the SMS."
"ReceiverPatientKey","Unique identifier for the receiver patient."
"media","Media content of the SMS."
"CarrierMessageID","Carrier-specific message identifier."
"ApptNotification","Indicates if the message is an appointment notification."
"SmsnaviMessagesKey","Key linking to SMS Navi messages data."
