"FieldName","Description"
"AddedBY","Name of the user who added the record."
"addedDate","Date when the record was added."
"message","Content of the SMS message."
"PatientKey","identifier for the patient."
"ServiceName","Name of the service provider."
"ReceiverNumber","Phone number of the message receiver."
"receiver","Receiver of the SMS message."
"SmsNaviMessagesKey","Key linking to SMS Navi messages data."
"ServiceNumber","Service number associated with the record."
"SmsNaviNotificationKey","unique Key to SMS Navi notification data."
