"FieldName","Description"
"ReminderDate","Date of the reminder."
"CompletedDocumentkey","Key linking to the completed document."
"comments","Additional comments or notes."
"address","Address associated with the task."
"priority","Priority level of the task."
"longitude","Longitude coordinate related to the address."
"deadlineDate","Deadline date for the task."
"VisitKey","identifier for patient visits."
"EmrCycleKey","Key linking to EMR cycle data."
"taskKey","Unique Key identifying the task."
"AddedDate","Date when the record was added."
"isLogInChart","Indicates if the task is logged in the chart."
"radius","Radius related to the task."
"response","Response related to the task."
"addedby","name of the user who added the record."
"job","Job associated with the task."
"owner","Owner of the task."
"isReportBack","Indicates if a report is required back."
"PatientKey","identifier for the patient."
"completedby","name of the user who completed the task."
"latitude","Latitude coordinate related to the address."
"history","Task history information."
"DocumentKey","Key linking to the document data."
"completedDate","Date when the task was completed."
