"Table Description",""
"This table describes the Visit record, representing an encounter or claim for  a particular patient.  The VisitKey is the primary key for this table and referred to throughout the system to tie documentation and claim data to a particular encounter",""
"FieldName","Description"
"authvisit","Indicates if the visit is authorized."
"claimid","Identifier for the claim associated with the visit."
"icd1","ICD (International Classification of Diseases) codes associated with the visit"
"icd2","ICD (International Classification of Diseases) codes associated with the visit"
"icd3","ICD (International Classification of Diseases) codes associated with the visit"
"icd4","ICD (International Classification of Diseases) codes associated with the visit"
"icd5","ICD (International Classification of Diseases) codes associated with the visit"
"icd6","ICD (International Classification of Diseases) codes associated with the visit"
"icd7","ICD (International Classification of Diseases) codes associated with the visit"
"icd8","ICD (International Classification of Diseases) codes associated with the visit"
"icd9","ICD (International Classification of Diseases) codes associated with the visit"
"icd10","ICD (International Classification of Diseases) codes associated with the visit"
"icd11","ICD (International Classification of Diseases) codes associated with the visit"
"icd12","ICD (International Classification of Diseases) codes associated with the visit"
"CaseName","Name of the medical case or condition related to the visit."
"patientkey","Unique key or identifier for the patient associated with the visit."
"firstillnessDate","Date when the patient first experienced illness or symptoms related to the visit."
"clearedDate","Date when the visit or case was cleared or resolved."
"lastactionDate","Date of the last action or activity related to the visit."
"patientmessage","Message or note related to the patient or the visit."
"DoctorName","Name of the doctor or healthcare provider associated with the visit."
"isreportlmp","Indicates if the visit report includes Last Menstrual Period (LMP) information."
"isCharted","Indicates if the visit has been charted or documented."
"isApproved","Indicates if the visit has been approved or authorized."
"EncounterSummaryPrintDate","Date when the encounter summary was printed."
"placeofservice","The location or type of healthcare facility where the visit took place."
"patientportalreleasedbyName","Name of the person who released the visit information to the patient portal."
"defaultfrequency","Default frequency or occurrence related to the visit."
"collectorName","Name of the person or entity responsible for collecting visit-related information."
"duration","Duration or length of the visit."
"patientrxreconciledby","Name of the person responsible for reconciling the patient's prescriptions."
"occurrencecodes","Codes related to specific occurrences or events during the visit."
"accidenttype","Type of accident or incident associated with the visit."
"epsdtreferal","Indicates if the visit involves an EPSDT (Early and Periodic Screening, Diagnostic, and Treatment) referral."
"FacilityName","Name of the healthcare facility where the visit occurred."
