"FieldName","Description"
"isNewPatient","Indicates if the appointment is for a new patient."
"isTelemedicineAppointment","Indicates if the appointment is a telemedicine appointment."
"isCanceled","Indicates if the appointment is canceled."
"PaidCopayAmounts","Amount of copay paid by the patient for the appointment."
"patpreparedby","Name of the person who prepared the patient for the appointment."
"Patientkey","Unique key for the patient associated with the appointment."
"resourceName","Name of the resource (e.g., doctor, nurse) associated with the appointment."
"isPatienSelfReferred","Indicates if the patient self-referred for the appointment."
"isConfirmed","Indicates if the appointment is confirmed."
"PatientRoom","Room assigned to the patient for the appointment."
"telemedicineReadyToBeSeen","Indicates if the telemedicine appointment is ready to be seen."
"doctor","Name of the doctor associated with the appointment."
"patientSignInDate","Date when the patient signed in for the appointment."
"appointmentEndTime","End time of the appointment."
"isSurgery","Indicates if the appointment is for surgery."
"AptlinkID","Identifier for the appointment link."
"PatientRoomCheckedoutDate","Date when the patient checked out of the assigned room."
"Notes2","Additional notes or comments related to the appointment."
"symptom","Symptom or reason for the appointment."
"PatientRoomCheckedinDate","Date when the patient checked into the assigned room."
"appointmentKey","Unique key for the appointment."
"CancelationReason","Reason for canceling the appointment."
"PatientCheckedInCallTime","Time when the patient checked in for the appointment via call."
"appointmentStartTime","Start time of the appointment."
"status","Current status of the appointment."
"PatientPresentFlag","Flag indicating if the patient is present for the appointment."
"Auditlog","Log of audit information for the appointment."
"otherCodes","Other codes associated with the appointment."
"rescheduleAppointmentKey","Unique key for the appointment reschedule."
"addedon","Date when the appointment was added."
"paymentKey","Unique key for the payment associated with the appointment."
"visitKey","Unique key for the visit associated with the appointment."
"PaidApplyAmounts","Amounts applied for payments."
"UndoReason","Reason for undoing an action related to the appointment."
"patientSignOutDate","Date when the patient signed out after the appointment."
"PatientReadytoBeSeen","Indicates if the patient is ready to be seen."
"appointmentDate","Date of the appointment."
"Notes","Notes or comments related to the appointment."
"PatientKioskLog","Log of patient kiosk activities."
"ReferencesDocs","Reference documents associated with the appointment."
"Name from facility table","Name of the facility or location associated with the appointment."
"BillingNote","Note related to billing for the appointment."
"cancelby","Name of the person who canceled the appointment."
"Doctorin","Indicates if the doctor is available or in for the appointment."
"CancelationNote","Note related to the cancelation of the appointment."
"addedby","Name of the person who added the appointment."
"AppointmentType","Type or category of the appointment."
