"FieldName","Description"
"DeletedBy","name of the user who deleted the record."
"ConsentFormDeletedReason","Reason for the deletion of the consent form record."
"ConsentFormCompletedKey","Unique Key to patient's completed consent form data."
"ConsentFormStatus","Status of the consent form."
"PatientKey","identifier for the patient."
"ConsentFormLanguage","Language of the consent form."
"AddedDate","Date when the record was added."
"ConsentFormCompletedDate","Date when the consent form was completed."
"AddedBy","Name of the user who added the record."
"consentForm","Name of the consent form."
"ConsentFormCompletedDocumentKey","Key linking to the completed consent form document."
"DeletedDate","Date when the record was deleted."
