"FieldName","Description"
"Education","Education level or degree of the donor."
"DonorKey","identifier for the donor associated with the education."
"status","Status of the donor's education (e.g., completed, in progress)."
"DonorEducationKey","Unique key or identifier for the donor's education entry."
"GPAScore","GPA (Grade Point Average) score of the donor."
"DeletedDate","Date when the education entry was deleted (if applicable)."
"ACTScore","ACT score of the donor."
"awards","Awards or honors received by the donor related to education."
"SATScore","SAT score of the donor."
"Major/Minor","Major and minor subjects studied by the donor."
"year","Year of study or graduation."
"activities","Extracurricular activities or involvements of the donor."
"SchoolName","Name of the educational institution where the donor studied."
"AddedDate","Date when the education entry was added."
