"FieldName","Description"
"VisitKey","identifier for patient visits."
"EmrContraceptionKey","Unique Key to patient's contraception data."
"DeletedReason","Reason for the deletion of a record."
"ContraceptionEndDate","Date when contraception use ended."
"addedby","Name of the user who added the record."
"recordid","identifier for each record."
"addedDate","Date when the record was added."
"deletedby","Name of the user who deleted the record."
"ContraceptionNotes","Additional notes about contraception."
"DeletedDate","Date when the record was deleted."
"PatientKey","identifier for the patient."
"ContraceptionStartDate","Date when contraception use began."
"ContraceptionMethod","Method of contraception employed."
