"FieldName","Description"
"Accessionid","Accession identification for records."
"addedby","User who added the record."
"AddedDate","Date when the record was added."
"barcode","Scannable code for identification."
"BMI","Body Mass Index of the patient."
"CalcBaseDate","Base date used for calculations."
"CalcType","Type of calculation."
"checklist","List of items for review."
"ChecklistDoneDate","Date when the checklist was completed."
"ChecklistDoneBy","user who done the checklist"
"children","Number of children."
"isCycleClosed","Indicates if the cycle is closed."
"Completeddate","Date when the process was completed."
"coordinator","Coordinator for the cycle."
"CycleNumber","number for the cycle."
"cryo","Cryopreservation information."
"CycleName","Name or label for the cycle."
"CycleNotes","Notes related to the cycle."
"cyclecoordinator","Coordinator for the cycle."
"CycleEndDate","Date when the cycle ended."
"CycleStartDate","Date when the cycle started."
"CycleType","Type or category of the cycle."
"deletedby","User who deleted the record."
"DeletedDate","Date when the record was deleted."
"Doctor","Physician or doctor involved."
"CustomCategory","Custom categorization."
"EDD","Estimated Due Date for pregnancy."
"EggEmrDonorKey","Key for donor egg information."
"EggsourceEligibility","Eligibility status for egg source."
"Embryologist","Embryologist Name"
"EmbryologyNote","Notes related to embryology."
"CycleTransferPlan","Plan for transferring embryos."
"CycleUterus","Information about the uterus."
"LaboratoryNotes","Notes from the laboratory."
"CycleEndNote","Notes at the end of the cycle."
"CycleEndReason","Reason for ending the cycle."
"EventLabels","Labels for specific events."
"facility","Facility where the cycle took place."
"PackageChargeVisitKey","Key for package charge visit."
"SelectedPackageCode","Code for selected package."
"FinancingStatus","Status of financing."
"FinancingNote","Notes related to financing."
"Height","Height of the patient."
"abinduced","Induced abortion information."
"abspontaneous","Spontaneous abortion information."
"ectopics","Information about ectopic pregnancies."
"fullterm","Full-term pregnancy information."
"TotalPreg","Total number of pregnancies."
"CycleStartHeight","Height at the start of the cycle."
"MonthsAttempting","Months attempting pregnancy."
"isPartnerSurgicallySterilized","Partner's sterilization status."
"isPatientSurgicallySterilized","Patient's sterilization status."
"premature","Premature birth information."
"isSmokedLastThreeMonths","Smoking status."
"stillbirth","Stillbirth information."
"CycleStartWeight","Weight at the start of the cycle."
"ICSIQuantity","Quantity for Intracytoplasmic Sperm Injection (ICSI)."
"ICSIReason","Reason for using ICSI."
"ICSITech","Technician for ICSI."
"ICSIWitness","Witness for ICSI."
"EmrCycleKey","Unique Key for the cycle record."
"Incubator","Information about the incubator."
"IncubatorTime","Time spent in the incubator."
"CustomInputPreferance","Custom input preferences."
"isInsuranceAuthorizationComplete","Indicates if insurance authorization is complete."
"InseminationTech","Technician for insemination."
"LastFinalReportDate","Date of the last final report."
"LastFinalReportDocumentKey","Key for the last final report document."
"LastProspectiveReportDate","Date of the last prospective report."
"LastProspectiveReportDocumentKey","Key for the last prospective report document."
"MainNote","Main note or comment."
"ManualCultureStartDate","Start date for manual culture."
"isMinimalStimulation","Indicates minimal stimulation."
"note","General notes or comments."
"EmrObHistoryKey","Key for obstetric history."
"OrigScheduleEndDate","Original schedule end date."
"outcome","Outcome of the cycle."
"isOutsideMonitoring","Indicates if there is monitoring outside the facility."
"isOverrideOutcomes","Indicates if outcomes are overridden."
"PartnerPatientKey","Key for partner's patient information."
"PatientInstructions","Instructions for the patient."
"PatientKey","Key for patient information."
"pg","PG (Preimplantation Genetic) information."
"PGTReason","Reason for Preimplantation Genetic Testing (PGT)."
"PGTSource","Source of PGT information."
"PGTType","Type of PGT."
"isPlanAssistedHatching","Indicates if assisted hatching is planned."
"PlannedEggSource","Planned source of eggs."
"PlannedEmbryoSource","Planned source of embryos."
"isUseHatching","Indicates if hatching is planned."
"isUseICSI","Indicates if ICSI is planned."
"isGeneticTestingPlanned","Indicates if genetic testing is planned."
"isUseZIFT","Indicates if ZIFT (Zygote Intrafallopian Transfer) is planned."
"PlannedSpermSource","Planned source of sperm."
"PlannedSurrogateSource","Planned source of surrogate."
"PlanTreatment","Planned treatment details."
"PlannedEggsource","Planned source of eggs."
"PlannedRetrievalDate","Planned date for retrieval."
"PlannedSpermsource","Planned source of sperm."
"PlannedStartDaate","Planned start date."
"PlannedThawDate","Planned thaw date."
"PlannedTransferDate","Planned transfer date."
"PlanningNote","Notes related to planning."
"pregnancystartDate","Start date of pregnancy."
"preparedby","Prepared by user."
"preparedDate","Date of preparation."
"EmrProblemKey","Key for problem identification."
"prognosis","Prognosis for the cycle."
"PsychEvaluationDoneDate","Date of psychological evaluation."
"PsychEvaluationDoneBy","Person who conducted psychological evaluation."
"PsychEvaluationNotes","Notes from psychological evaluation."
"SARTReportingFacility","The Assisted Reproductive Technology (SART) reporting facility"
"SARTApprovalCode","A code indicating SART approval status."
"ResearchCycleReason","The reason for conducting a research cycle in IVF."
"isSartFinalized","A flag indicating whether SART data is finalized."
"SartId","An identifier for SART data."
"ScheduleEndDate","The end date of an IVF cycle schedule."
"ScheduleStartDate","The start date of an IVF cycle schedule."
"SecondSpermSource","Information about a secondary sperm source in IVF."
"SecondSpermsourceEligibility","Eligibility status of the secondary sperm source."
"SecondChecklistDoneDate","Date when a checklist for the secondary source was completed."
"SecondChecklistDoneby","Person or entity who completed the checklist for the secondary source."
"sperm","Details related to sperm used in IVF."
"SpermEmrDonorKey","Key identifying the sperm donor in the EMR system."
"SpermsourceEligibility","Eligibility status of the primary sperm source."
"status","The status of an IVF cycle."
"SurrogateEmrDonorKey","Key identifying the surrogate donor in the EMR system."
"ThawInstructions","Instructions for thawing frozen materials in IVF."
"Weight","Weight measurement related to IVF."
"TransferDepth (cm)","Depth measurement for embryo transfer in centimeters."
"ExcessTransferReason","Reason for excess embryo transfer."
"isBloodinCatheter","A flag indicating the presence of blood in the catheter during IVF."
"NoTransferReason","Reason for not transferring embryos in IVF."
"isMucusinSheath","A flag indicating the presence of mucus in the sheath during IVF."
"EmrCycleTransferNote","Notes related to embryo transfer in the EMR system."
"StyletUsed","Information about the use of a stylet during IVF."
"UltrasoundGuidedMethod","Method used for ultrasound guidance in IVF."
"TransferPerformedBy","Person or entity who performed the embryo transfer."
"PatientIdentifiedBy","Person or entity who identify the patient."
"NumberAttempt","The number of attempts made in IVF."
"CatheterChange","Information about changing the catheter in IVF."
"CatheterUsed","Details about the catheter used in IVF."
"isElectiveSingleEmbryoTransfer","A flag indicating elective single embryo transfer."
"TransferMethod","Method used for embryo transfer in IVF."
"isCovidRelated","A flag indicating whether the IVF cycle is related to COVID-19."
"isTransferperformed","A flag indicating whether the embryo transfer was performed."
"isBloodinSheath","A flag indicating the presence of blood in the sheath during IVF."
"DayTransferred","The day on which embryos were transferred."
"UterusPosition","Position of the uterus during IVF."
"NumberTransferred","Number of embryos transferred."
"TransferNurse","Nurse involved in the embryo transfer."
