"FieldName","Description"
"note","Additional notes or comments."
"gender","Gender of the baby."
"isNeonatalDeath","Indicates if it's a neonatal death."
"DeletedDate","Date when the record was deleted."
"length","Length of the baby."
"LastName","Last name of the baby."
"AddedDate","Date when the record was added."
"isCovidPositive","Indicates if the baby is COVID-19 positive."
"EmrCycleKey","Key linking to EMR cycle data."
"NicuAdmit","Indicates if NICU (Neonatal Intensive Care Unit) admission was required."
"deletedby","name of the user who deleted the record."
"EmrCycleBirthKey","Key linking to EMR cycle birth data."
"DateofBirth","Date of birth of the baby."
"BirthStatus","Status of birth"
"BirthDefects","Indicates if there were any birth defects."
"FirstName","First name of the baby."
"isCovidPresumptive","Indicates if the baby has a presumptive diagnosis of COVID-19."
"PatientKey","identifier for the patient."
"weight","Weight of the baby."
"addedby","name of the user who added the record."
"SortingOrder","Order or sequence of the record."
