"FieldName","Description"
"addedby","Name of the user who added the record."
"AddedDate","Date when the record was added."
"checktech","Name of the technician who performed the check."
"CheckDate","Date when the check was performed."
"EmrCycleKey","Key linking to EMR cycle data."
"day","Day associated with the record."
"deletedby","Name of the user who deleted the record."
"DeletedDate","Date when the record was deleted."
"EmrDonorKey","Key linking to EMR donor data."
"FertRateInsemination","Fertilization rate for insemination."
"FertRateMii","Fertilization rate for MII."
"FertRateRetrieval","Fertilization rate for retrieval."
"EmrCycleCultureKey","Unique Key to EMR cycle culture data."
"note","Additional notes or comments."
"notecolor","Color associated with the note."
"PatientKey","identifier for the patient."
"PatientContactedBy","Name of the person who contacted the patient."
"PatientContactedDate","Date when the patient was contacted."
"isPatientNoContact","Indicates if the patient should not be contacted."
"subday","Sub-day information associated with the record."
