"FieldName","Description"
"TaskAssignedTo","Name of the person to whom the task is assigned."
"CompletedBy","Name of the person who completed the task."
"isToDoTask","Indicates if the entry is a ""To-Do"" task."
"addedby","Name of the person who added the task."
"AddedDate","Date when the task was added."
"DeletedDate","Date when the task was deleted (if applicable)."
"patientKey","identifier for the patient associated with the task."
"EmrCycleScheduleAlertKey","Unique key for the EMR cycle schedule alert."
"deletedby","Name of the person who deleted the task."
"CompletionDate","Date when the task was completed."
"AlertDetails","Details related to the alert."
"AlertDate","Date of the alert."
"EMRCyclekey","identifier for the EMR cycle associated with the task."
"AlertColor","Color associated with the alert."
