"FieldName","Description"
"DvtRiskKey","Unique key for the DVT (Deep Vein Thrombosis) risk entry."
"DvtNote","Comments related to the DVT risk."
"DvtScore","Score associated with the DVT risk assessment."
"DvtRisk","Category of DVT risk."
"DeletedDate","Date when the entry was deleted (if applicable)."
"deletedby","Name of the person who deleted the entry."
"patientKey","identifier for the patient associated with the DVT risk."
"VisitKey","identifier for the visit associated with the DVT risk."
"DvtPlans","Plans related to managing the DVT risk."
"AddedDate","Date when the entry was added."
"addedby","Name of the person who added the entry."
"recordid","Unique identifier for the record."
