"FieldName","Description"
"abstinenceDays","Number of days of abstinence."
"AccessionNumber","Accession number for the sample."
"addedby","Name of the user who added the record."
"AddedDate","Date when the record was added."
"analyzedDate","Date when the sample was analyzed."
"AnalyzedFacility","Facility where the sample was analyzed."
"analyzedby","Person who analyzed the sample."
"Centrifuge1","Information related to centrifuge 1."
"Centrifuge2","Information related to centrifuge 2."
"collectedDate","Date when the sample was collected."
"CollectionContainer","Container used for sample collection."
"CollectionDifficulties","Difficulties encountered during collection."
"CollectionMethod","Method used for sample collection."
"CollectionPlace","Place where the sample was collected."
"contactby","Person contacted regarding the sample."
"contactDate","Date of contact regarding the sample."
"counttech","Technician responsible for counting."
"deletedby","Name of the user who deleted the record."
"DeletedDate","Date when the record was deleted."
"destroyedDate","Date when the sample was destroyed."
"destroyedby","Person who destroyed the sample."
"dfi","DFI (DNA Fragmentation Index) information."
"diagnosis","Diagnostic information."
"disposition","Disposition status of the sample."
"DispositionOther","Other disposition details."
"ReviewDoctor","Doctor responsible for reviewing the sample."
"finding","Findings related to the sample."
"Followup","Indicates if this is a follow-up record."
"followupby","Person responsible for follow-up."
"FrozenSamplePreparation","Information about preparation of frozen samples."
"hds","HDS (High DNA Stainability) information."
"TempSpecimenHeldAt","Temperature at which the specimen is held."
"EmrIvfSemenAnalysisKey","Unique Key to semen analysis data."
"idcheckby","Person responsible for ID verification."
"EmrLabOrderKey","Key linking to lab order data."
"labreceivedDate","Date when the sample was received in the lab."
"labreceivedby","Person who received the sample in the lab."
"LabRoomTemp","Room temperature at the lab."
"LabTechNote","Notes from the lab technician."
"MorphTech","Information about the morphology technique used."
"noreview","Name if the record was not reviewed."
"note","Additional notes or comments related to the sample."
"CycleSemenSampleNumber","Sample number within the cycle."
"OrderDoctor","Doctor who placed the lab order."
"ReferringPhysicianAddress","Address of the referring physician."
"ordertype","Type of lab order."
"SampleSourceEmrDonorKey","Key linking to donor sample data."
"OriginalCycleSemenSampleNumber","Original sample number within the cycle."
"SampleSourcePatientKey","Key linking to patient sample data."
"PatientKey","Unique identifier for the patient."
"PatientPortalReceivedDate","Date when the content was received in the patient portal."
"PatientPortalReleasedBy","Person who released the content in the patient portal."
"PatientPortalReleasedDate","Date when the content was released in the patient portal."
"PatientPortalReleasedNote","Note related to the release of content in the patient portal."
"EmrPlanKey","Key linking to patient's plan data."
"PreparationMedia","Media used for sample preparation."
"PrepMediaLotNumber","Lot number of the preparation media."
"preparation","Details of the sample preparation."
"preparedDate","Date when the sample was prepared."
"preparedEndDate","Date when the sample preparation was completed."
"preparedby","Person who prepared the sample."
"purpose","Purpose of the sample."
"recoveryrate","Recovery rate of the sample."
"releasedDate","Date when the sample was released."
"releasedby","Person who released the sample."
"releasedto","Recipient to whom the sample was released."
"reviewedby","Person who reviewed the sample."
"reviewedDate","Date when the sample was reviewed."
"samplecount","Count of samples."
"sampleid","Identifier for the sample."
"score","Overall SCSA (Sperm Chromatin Structure Assay) score."
"OverallScsaScore","Overall score from SCSA analysis."
"signedby","Person who signed the record."
"signedDate","Date when the record was signed."
"SpermProvidedTo","Recipient to whom the sperm was provided."
"thawedDate","Date when the sample was thawed."
"ThawedTemp","Temperature at which the sample was thawed."
"thawedby","Person who thawed the sample."
"ThawSampleEmrIvfSampleKey","Key linking to thawed sample data."
"treatment","Treatment related to the sample."
"useEmrCycleKey","Key linking to the cycle data."
