"FieldName","Description"
"VisitKey","Unique identifier for patient visits."
"icdCode","ICD (International Classification of Diseases) code."
"PatinetKey","Unique identifier for the patient."
"addedby","Name of the user who added the record."
"isPrivate","Indicates if the information is private."
"status","Current status of the medical history."
"EmrMedicalHistoryKey","Unique Key to medical history data."
"deletedby","Name of the user who deleted the record."
"DeletedDate","Date when the record was deleted."
"AddedDate","Date when the record was added."
"SnomedCode","SNOMED CT code."
"relativeKey","Unique identifier for the relative."
"recordid","Unique identifier for each record."
"isNeedsReview","Indicates if the record needs review."
"note","Additional notes or comments related to the medical history."
"historyDateInfo","Information about the history date."
"item","Medical history item."
"age","Age of the patient."
