"FieldName","Description"
"recordid","identifier for each record."
"isNurseReply","Indicates if it's a reply from a nurse."
"PatientKey","identifier for the patient."
"isAuditAlert","Indicates if it's an audit alert."
"addedby","Name of the user who added the record."
"UpdatedDate","Date when the record was last updated."
"ReviewOfEmrNotesKey","Key associated if the note is review of other EMR notes."
"section","Section to which the note belongs."
"isConfidential","Indicates if the note is confidential."
"AddedDate","Date when the record was added."
"EmrNotesKey","Unique Key associated with EMR notes."
"note","Content of the note."
"VisitKey","identifier for patient visits."
"ColorCode","Color code associated with the note."
