"FieldName","Description"
"recordid","identifier for each record."
"DeliveryStatus","Status of the delivery."
"BirthWeightoz","Birth weight in ounces."
"LaborHours","Duration of labor in hours."
"isPreterm","Indicates if the birth is preterm."
"endedby","process to end the pregnancy."
"pregdateday","Day of pregnancy date."
"Incision","Type of incision used."
"sex","Sex of the baby."
"DeletedDate","Date when the record was deleted."
"pregdateyear","Year of pregnancy date."
"addedby","Name of the user who added the record."
"BirthWeightWlbs","Birth weight in pounds."
"PatientKey","identifier for the patient."
"DeliveryDoctor","Doctor who performed the delivery."
"isSterilizationDone","Indicates if sterilization was performed."
"EmrObHistoryPregKey","unique Key to obstetric history pregnancy data."
"DeliveryType","Type of delivery."
"LaborType","Type of labor."
"Facility","Facility where the delivery took place."
"pregdatemonth","Month of pregnancy date."
"EmrPregnancyKey","Key linking to pregnancy data."
"AddedDate","Date when the record was added."
"GestAge","Gestational age."
"multibirth","Indicates if it's a multiple birth."
"notes","Additional notes or comments."
"Anesthesia","Type of anesthesia used."
"PregnancyStartDate","Start date of the pregnancy."
"maternalweightgain","Maternal weight gain during pregnancy."
"deletedby","Name of the user who deleted the record."
"complications","Any complications during pregnancy."
"VisitKey","Unique identifier for patient visits."
"presentation","Presentation of the baby during birth."
