"FieldName","Description"
"incubator","Incubator information."
"donate","Indicates if the sample is donated."
"DestroyedDate","Date when the sample was destroyed."
"TreatmentDate","Date of treatment."
"CryoPreservedDate","Date when the sample was cryopreserved."
"OriginalOrd","Original order information."
"carrierEmrCycleKey","Key linking to the carrier's EMR cycle."
"EmrIvfSemenAnalysisKey","Key linking to semen analysis data."
"InseminationTech","Technique used for insemination."
"AbsoluteOocyteId","Unique identifier for the absolute oocyte."
"FreshDonorEmrOocyteKey","Key linking to fresh donor EMR oocyte data."
"carrierPatientKey","Unique identifier for the carrier patient."
"addedby","name of the user who added the record."
"SpermSourceEligibility","Eligibility of sperm source."
"EmrDonorKey","Key linking to donor EMR data."
"ICSIWitness","Witness of ICSI (Intracytoplasmic Sperm Injection)."
"recipientPatientKey","identifier for the recipient patient."
"IncubatorDate","Date related to incubation."
"DeletedDate","Date when the record was deleted."
"TreatmentPerformedBy","Person who performed the treatment."
"OocyteGrouping","Grouping information for oocytes."
"FreshRecipientEmrOocyteKey","Key linking to fresh recipient EMR oocyte data."
"EmrOocyteKey","Unique Key to oocyte data."
"deletedby","Name of the user who deleted the record."
"EmrCycleKey","Key linking to EMR cycle data."
"MaxDay","Maximum day related to the cycle."
"EmrCycleAspirationKey","Key linking to cycle aspiration data."
"recipientEmrCycleKey","Key linking to recipient EMR cycle data."
"OocyteNote","Notes related to oocytes."
"ICSITech","Technique used for ICSI."
"PatientKey","identifier for the patient."
"treatment","Treatment information."
"EggSourceEligibility","Eligibility of egg source."
"TransferredDate","Date when the sample was transferred."
"AddedDate","Date when the record was added."
"EmrIvfSampleKey","Key linking to IVF sample data."
"OocyteNumber","Number of oocytes."
"ClomipheneDose","Dose of Clomiphene."
"isLetrozole","Indicates if Letrozole is used."
"isAnastrozole","Indicates if Anastrozole is used."
"isAgonistSuppression","Indicates if agonist suppression is used."
"isAgonistFlare","Indicates if agonist flare is used."
"isLHHCGActivity","Indicates if LH/hCG activity is present."
"AnastrozoleDose","Dose of Anastrozole."
"fshDose","Dose of FSH (Follicle-Stimulating Hormone)."
"OtherDoseUnits","Units of measurement for other doses."
"isTamoxiFen","Indicates if Tamoxifen is used."
"trigger","Trigger used for stimulation."
"stimulation","Type of stimulation."
"TamoxifenDose","Dose of Tamoxifen."
"isFsh","Indicates if FSH is used."
"OtherType","Type of other dose."
"LetrozoleDose","Dose of Letrozole."
"TriggerOther","Other type of trigger used."
"isClomiphene","Indicates if Clomiphene is used."
"OtherDose","Other dose used."
"isAntagonistSuppression","Indicates if antagonist suppression is used."
