"FieldName","Description"
"EstimatedDueDate","Estimated due date of the pregnancy."
"PregnancyEndCause","Cause of pregnancy end."
"recordid","Unique identifier for each record."
"EmrPregnancyKey","Unique Key to pregnancy data."
"VisitKey","identifier for patient visits."
"FetusesPresentCount","Count of fetuses present in the pregnancy."
"EmrProblemKey","Key linking to problem data."
"addedby","name of the user who added the record."
"AddedDate","Date when the record was added."
"EmrEstimatedDueDateKey","Key linking to estimated due date data."
"EndDate","End date of the pregnancy."
"PatientKey","Unique identifier for the patient."
"isCommitted","Indicates if the doctor committed to this due date"
"StartDate","Start date of the pregnancy."
"PriorAuthKey","Key linking to prior authorization data."
