"FieldName","Description"
"GovtIMUProgCode","Government Immunization Program Code."
"recordid","Unique identifier for the record."
"DoneTime","Time when the action was done."
"doneby","Person who performed the action."
"rx_dispensedby","Person who dispensed the prescription."
"status","Current status of the record."
"isRxDispensed","Indicates whether the prescription was dispensed."
"dose","Amount of dose administered."
"notes","Additional notes or details."
"deletedby","Person who deleted the record."
"vaccine","Type of vaccine administered."
"rx_sig","Prescription signature."
"otherdoneby","Another person involved in performing the action."
"Doctor","Doctor who administered the immunization."
"LotNumber","Lot number of the vaccine."
"ImmunizationRecordKey","Key for the immunization record."
"doneon","Date when the action was done."
"ImmunizationScheduleKey","Key for the immunization schedule."
"VISProvided","Whether Vaccine Information Statement (VIS) was provided."
"rx_prescribedby","Doctor who prescribed the medication."
"source","Source of the record."
"rx_number","Prescription number."
"isCounsellingProvided","Indicates whether counseling was provided."
"ExpireDate","Expiration date of the record."
"RefusalReason","Reason for refusal."
"BoxNumber","Number of the box containing the vaccine."
"rxUseBy","Prescription use-by date."
"HistorySource","Source of the history."
"site","Site of administration."
"DeletedDate","Date when the record was deleted."
"VisitKey","Key for the associated visit."
"reaction","Reaction observed after immunization."
"AddedDate","Date when the record was added."
"ReactiononDate","Date of the reaction observed."
"mvx","Manufacturer, distributor, and lot number (MVX)."
"PatientKey","Unique key or identifier for the patient."
"rx_dispensedamount","Amount of medication dispensed."
"route","Route of administration."
"doseunit","Unit of measurement for the dose."
"CVX","Code for the vaccine administered."
"addedby","Person who added the record."
"OtherDrugs","Other drugs administered."
"ContraindicationReason","Reason for contraindication."
