"FieldName","Description"
"ApprovedDate","Date when the document was approved."
"PatientSignedDate","Date when the patient signed the document."
"isIncludeCredit","Indicates whether credit is included."
"PatientKey","Key associated with the patient."
"PatientPortalReleasedBy","User who released the document on the patient portal."
"AddedDate","Date when the document was added."
"DeletedDate","Date when the document was deleted."
"PatientSignatureImage","Image of the patient's signature."
"InvoicedDate","Date when the document was invoiced."
"PatientPortalReceivedDate","Date when the document was received on the patient portal."
"status","Status of the document."
"DocumentKey","Key associated with the document."
"IvfQuotekey","unique Key associated with the IVF quote."
"PatientPortalReleasedDate","Date when the document was released on the patient portal."
"CreditAmount","Amount of credit."
"ExpirationDate","Date when the document expires."
"addedby","User who added the document."
"InvoicedBy","User who invoiced the document."
"PatientSignature","Signature of the patient."
"approvedby","User who approved the document."
"deletedby","User who deleted the document."
"EmrCycleKey","Key associated with the EMR cycle."
"TotalAmount","Total amount."
"name","Name associated with the document."
"SignatureHandledBy","User who handled the document signature."
"SignatureHandledDate","Date when the document signature was handled."
"InvoiceHandledBy","User who handled the document invoice."
"InvoiceHandledDate","Date when the document invoice was handled."
