"FieldName","Description"
"answer","The response or answers provided."
"ReviewedBy","Person who reviewed the answer."
"deletedby","Person who deleted the answer."
"Visitkey","Key for the associated visit."
"source","Source of the answer."
"ReviewedDate","Date when the answer was reviewed."
"DeletedDate","Date when the answer was deleted."
"AddedDate","Date when the answer was added."
"AppointmentKey","Key for the associated appointment."
"PatinetKey","identifier for the patient."
"KioskAnswerKey","Unique Key for the kiosk answer."
