"FieldName","Description"
"PatientKey","identifier for the patient associated with the contact details."
"TertiaryAllowedContactDetails","Details of the tertiary allowed contact."
"TertiaryAllowedContactRelationship","Relationship of the tertiary allowed contact to the patient."
"isVoiceMailok","Indicates if voice mail is allowed for contacts."
"deletedby","Name of the person who deleted the entry."
"TertiaryAllowedContactPhone","Phone number of the tertiary allowed contact."
"SecondaryAllowedContactDetails","Details of the secondary allowed contact."
"PrimaryAllowedContactName","Name of the primary allowed contact."
"SecondaryAllowedContactPhone","Phone number of the secondary allowed contact."
"QuaternaryAllowedContactRelationship","Relationship of the quaternary allowed contact to the patient."
"AllowedContactsKey","Unique key for the allowed contacts entry."
"TertiaryAllowedContactName","Name of the tertiary allowed contact."
"AddedBy","Name of the person who added the entry."
"PrimaryAllowedContactPhone","Phone number of the primary allowed contact."
"QuaternaryAllowedContactDetails","Details of the quaternary allowed contact."
"isContactAllowed","Indicates if the contact is allowed."
"QuaternaryAllowedContactName","Name of the quaternary allowed contact."
"AddedDate","Date when the entry was added."
"SecondaryAllowedContactRelationship","Relationship of the secondary allowed contact to the patient."
"SecondaryAllowedContactName","Name of the secondary allowed contact."
"PrimaryAllowedContactRelationship","Relationship of the primary allowed contact to the patient."
"DeletedDate","Date when the entry was deleted."
"PrimaryAllowedContactDetails","Details of the primary allowed contact."
"QuaternaryAllowedContactPhone","Phone number of the quaternary allowed contact."
