"FieldName","Description"
"RequestAmendmentKey","Unique key for the request amendment."
"RequestDecision","Decision made regarding the request."
"RequestSate","State or status of the request."
"RequestType","Type of the request."
"RequestCompletedDate","Date when the request was completed."
"RequestStartedDate","Date when the request was started."
"RequestCompletedBy","Name of the person who completed the request."
"RequestDueDtae","Date by which the request is due."
"RequestSource","Source from which the request originated."
"PatientKey","identifier for the patient associated with the request."
"RequestDecisionDate","Date when the decision about the request was made."
"RequestAssignedTo","Name of the person to whom the request was assigned."
"RequestStartedBy","Name of the person who started the request."
"RequestDecisionBy","Name of the person who made the decision about the request."
"RequestDetails","Additional details or information about the request."
"RequestDecisionNote","Notes or comments related to the decision about the request."
