"FieldName","Description"
"RequestFormCompletedDate","Date when the request form was completed."
"RequestFormCompletedBy","Name of the person who completed the request form."
"isRequestFormNeedRelease","Indicates if the request form requires a release."
"RequestType","Type of the request."
"isRequestFormElectronicallyRequested","Indicates if the request form was electronically requested."
"CCDDocumentKey","identifier for the CDC document associated with the request form."
"RequestDetails","Additional details about the request form."
"RequestFormStartedDate","Date when the request form was started."
"ReleaseDocumentKey","identifier for the release document associated with the request form."
"PatientKey","identifier for the patient associated with the request form."
"RequestFormkey","Unique key for the request form."
"PaymentKey","identifier for the payment associated with the request form."
"RequestFormAssignedTo","Name of the person to whom the request form was assigned."
"RequestFormDueDate","Date by which the request form is due."
"RequestFormSendTo","Entity or person to whom the request form is sent."
"RequestSate","status of the request form."
"RequestFormStartedBy","Name of the person who started the request form."
"RequestFormName","Name or title of the request form."
