"FieldName","Description"
"AddedDate","Date when the authorization entry was added."
"MaximumUsers","Maximum number of authorized users."
"AuthorizationNumber","Number associated with the authorization."
"isAuthorizationReferral","Indicates if the authorization is a referral."
"AuthorizationGivenDate","Date when the authorization was given."
"EncounterPurpose","Purpose for the encounter requiring authorization."
"RequestDoctor","Doctor who requested the authorization."
"addedby","Name of the person who added the authorization entry."
"isAuthorizationRenewal","Indicates if the authorization is a renewal."
"isAccepted","Indicates if the authorization was accepted."
"AuthorizationExpires","Date when the authorization expires."
"Notes","Additional notes related to the authorization."
"AuthorizationGivenBy","Person who gave the authorization."
"isAuthorizationExpired","Indicates if the authorization has expired."
"PriorAuthKey","Unique key for the prior authorization."
"PatientKey","identifier for the patient associated with the authorization."
"patientinsurancekey","identifier for the patient's insurance."
"RequestDate","Date when the request for authorization was made."
"ReferBy","Name of the referring entity."
"ReferNpi","NPI (National Provider Identifier) of the referring entity."
