"FieldName","Description"
"Procedurecodeins","Procedure code associated with the procedure as billed to insurance.  If not set, the procedurecode is submitted"
"Procedure","Description or name of the procedure."
"Drugunit","NDC Quantity for drug used in the procedure"
"DrugNDC","National Drug Code (NDC) related to the drug used in the procedure."
"Drugunitoce","NDC Unit of measurement for drug used in the procedure"
"ProcedureVisitKey","Unique key or identifier for the visit associated with the procedure."
"ProcedurePatientKey","Unique key or identifier for the patient associated with the procedure."
"ProcedureAnesthesiaMinute","Duration of anesthesia for anesthesia procedures billed in minutes"
"procedureOrder","Order or sequence of the procedure within the claim"
"diagnosis9pointers","ICD-9 pointer list.  ""all"" indicates pointers for codes 1-4"
"procedureAddedDate","Date when the procedure was added."
"procedureemergency","Indicates if the procedure is an emergency procedure."
"modifiers","Modifiers used in conjunction with the procedure."
"procedurecodesource","Source of the procedure code."
"procedureDeletedDate","Date when the procedure was deleted."
"procedureunits","Units or quantity associated with the procedure."
"ProcedureKey","Unique key or identifier."
"diagnosis10pointers","ICD-10 pointer list.  ""all"" indicates pointers for codes 1-4"
"procedurecode","Code associated with the procedure."
"procedureDeletedby","Name or identifier of the person who deleted the procedure."
"ProcedureNote","Note or additional information related to the procedure."
"DMECertification","Certification related to Durable Medical Equipment (DME) for the procedure."
"procedureReCode","Revised code for the procedure."
"ProcedureServiceStartDate","Start date of the service associated with the procedure."
"revenuecode","Revenue code related to the procedure."
"procedureAddedby","Name or identifier of the person who added the procedure."
"ProcedureServiceEndDate","End date of the service associated with the procedure."
"authvisit","Indicates if the visit is authorized."
